id,comment,label
1,"Amazing work! The animation looks stunning.",Praise
2,"Loved the colours you used, feels so fresh!",Praise
3,"This is one of your best posts yet!",Praise
4,"Absolutely beautiful! Keep posting more.",Praise
5,"Wow, top-notch quality!",Praise
6,"Super impressive creativity!",Praise
7,"Incredible editing skills!",Praise
8,"You nailed this one, great job!",Praise
9,"Very well done, I’m amazed!",Praise
10,"This looks brilliant!",Praise
11,"Fantastic effort, looks amazing!",Praise
12,"This came out so well!",Praise
13,"Your work keeps getting better!",Praise
14,"The final output is just perfect!",Praise
15,"This deserves more attention!",Praise
16,"Love this design, great choice!",Praise
17,"Wow! This is so professional!",Praise
18,"Such a crisp and clean animation!",Praise
19,"One of the best things I’ve seen today!",Praise
20,"Beautiful execution, well done!",Praise

21,"Keep going, you’re improving every day!",Support
22,"Don’t stop! Your content keeps inspiring.",Support
23,"We’re rooting for you!",Support
24,"You’re doing great, keep pushing!",Support
25,"Don’t give up, this looks promising!",Support
26,"We believe in you, keep creating!",Support
27,"Your efforts are showing, continue!",Support
28,"Stay consistent, you’ll do wonders.",Support
29,"Great progress, keep it up!",Support
30,"Your journey is inspiring!",Support
31,"Sending lots of support your way!",Support
32,"Keep shining, you’ve got this!",Support
33,"Good luck with your next post!",Support
34,"We appreciate your hard work!",Support
35,"You’re definitely on the right path.",Support
36,"Keep experimenting, you’re improving!",Support
37,"Looking forward to more from you!",Support
38,"We’re excited to see what you create next!",Support
39,"Stay motivated, your skills are growing!",Support
40,"You got this, keep going!",Support

41,"The animation is okay but feels a bit slow at some parts.",Constructive Criticism
42,"Nice attempt, but the background music doesn’t match the vibe.",Constructive Criticism
43,"Good work, although some transitions look rushed.",Constructive Criticism
44,"The voiceover was slightly unclear, maybe improve the audio.",Constructive Criticism
45,"I like the design, but the color scheme could be improved.",Constructive Criticism
46,"Not bad, but the text feels too small to read.",Constructive Criticism
47,"The pacing could be better; it feels uneven.",Constructive Criticism
48,"The idea is great but execution needs polishing.",Constructive Criticism
49,"This is good, but lighting looks inconsistent.",Constructive Criticism
50,"Concept is strong but the ending is abrupt.",Constructive Criticism
51,"Nice content, although the caption feels too long.",Constructive Criticism
52,"Try adding more depth to the visuals; it’ll look richer.",Constructive Criticism
53,"The audio balance feels off in some scenes.",Constructive Criticism
54,"Great try, but the characters feel stiff.",Constructive Criticism
55,"You could improve the timing of the animations.",Constructive Criticism
56,"Maybe add smoother transitions to enhance the flow.",Constructive Criticism
57,"The story is interesting but needs more clarity.",Constructive Criticism
58,"Good work, though the frame rate drops sometimes.",Constructive Criticism
59,"You’re close! Just refine the final touches.",Constructive Criticism
60,"Strong concept, but visuals could be cleaner.",Constructive Criticism

61,"This is trash, stop posting.",Hate/Abuse
62,"You clearly have no talent.",Hate/Abuse
63,"What a useless video.",Hate/Abuse
64,"This is the worst thing I’ve seen today.",Hate/Abuse
